"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_eligible_for_subsidized_lunch","percent_eligible_for_subsidized_lunch","number_not_eligible_for_subsidized_lunch_or_no_data","percent_not_eligible_for_subsidized_lunch_or_no_data"
"1999","22498","02","0063","","03","Elem      ","N","Albany","","Elementary School Type/ Prek-12","All Races","Both Genders",237,,"",,""
"1999","22498","02","0063","","03","Mid/Jr Hi ","N","Albany","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",112,,"",,""
"1999","22498","02","0063","","03","High      ","N","Albany","","High School Type/ PreK-12","All Races","Both Genders",146,,"",,""
"1999","22498","02","0063","","03","El/Sec    ","N","Albany","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1999","22498","02","0063","","03","Summary   ","N","Albany","","Grades PreK-12","All Races","Both Genders",495,,"",,""
"1999","22495","02","0063","0020","04","Elem      ","N","Albany","Albany El","Grades PreK-12","All Races","Both Genders",237,,"",,""
"1999","22496","02","0063","0040","04","High      ","N","Albany","Albany Hi","Grades PreK-12","All Races","Both Genders",146,,"",,""
"1999","22497","02","0063","0060","04","Mid/Jr Hi ","N","Albany","Albany Mid","Grades PreK-12","All Races","Both Genders",112,,"",,""
"1999","22510","02","0350","","03","Elem      ","N","Belleville","","Elementary School Type/ Prek-12","All Races","Both Genders",506,,"",,""
"1999","22510","02","0350","","03","Mid/Jr Hi ","N","Belleville","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",121,,"",,""
"1999","22510","02","0350","","03","High      ","N","Belleville","","High School Type/ PreK-12","All Races","Both Genders",218,,"",,""
"1999","22510","02","0350","","03","El/Sec    ","N","Belleville","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            "
"1999","22510","02","0350","","03","Summary   ","N","Belleville","","Grades PreK-12","All Races","Both Genders",845,,"",,""
